Calendar Year,Total Income,Total Cost,Net Increase,Asset Reserves
"1,957.00","12,937.00","7,567.00",523.00,"23,042.00"
"1,958.00","9,108.00","8,907.00",201.00,"23,243.00"
"1,959.00","9,516.00","10,793.00","-1,277.00","21,966.00"
"1,960.00","12,445.00","11,798.00",647.00,"22,613.00"
"1,961.00","12,937.00","13,388.00",-451.00,"22,162.00"
"1,962.00","13,699.00","15,156.00","-1,457.00","20,705.00"
"1,963.00","16,227.00","16,217.00",10.00,"20,715.00"
"1,964.00","17,476.00","17,020.00",456.00,"21,172.00"
"1,965.00","17,857.00","19,187.00","-1,331.00","19,841.00"
"1,966.00","23,381.00","20,913.00","2,467.00","22,308.00"
"1,967.00","26,413.00","22,471.00","3,942.00","26,250.00"
"1,968.00","28,493.00","26,015.00","2,479.00","28,729.00"
"1,969.00","33,346.00","27,892.00","5,453.00","34,182.00"
"1,970.00","36,993.00","33,108.00","3,886.00","38,068.00"
"1,971.00","40,908.00","38,542.00","2,366.00","40,434.00"
"1,972.00","45,622.00","43,281.00","2,341.00","42,775.00"
"1,973.00","54,787.00","53,148.00","1,639.00","44,414.00"
"1,974.00","62,066.00","60,593.00","1,472.00","45,886.00"
"1,975.00","67,640.00","69,184.00","-1,544.00","44,342.00"
"1,976.00","75,034.00","78,242.00","-3,209.00","41,133.00"
"1,977.00","81,982.00","87,254.00","-5,272.00","35,861.00"
"1,978.00","91,903.00","96,018.00","-4,115.00","31,746.00"
"1,979.00","105,864.00","107,320.00","-1,456.00","30,291.00"
"1,980.00","119,712.00","123,550.00","-3,838.00","26,453.00"
"1,981.00","142,438.00","144,352.00","-1,914.00","24,539.00"
"1,982.00","147,913.00","160,111.00",239.00,"24,778.00"
"1,983.00","171,266.00","171,177.00",89.00,"24,867.00"
"1,984.00","186,637.00","180,429.00","6,208.00","31,075.00"
"1,985.00","203,540.00","190,628.00","11,088.00","42,163.00"
"1,986.00","216,833.00","201,522.00","4,698.00","46,861.00"
"1,987.00","231,039.00","209,093.00","21,946.00","68,807.00"
"1,988.00","263,469.00","222,514.00","40,955.00","109,762.00"
"1,989.00","289,448.00","236,242.00","53,206.00","162,968.00"
"1,990.00","315,443.00","253,135.00","62,309.00","225,277.00"
"1,991.00","329,676.00","274,205.00","55,471.00","280,747.00"
"1,992.00","342,591.00","291,865.00","50,726.00","331,473.00"
"1,993.00","355,578.00","308,766.00","46,812.00","378,285.00"
"1,994.00","381,111.00","323,011.00","58,100.00","436,385.00"
"1,995.00","399,497.00","339,815.00","59,683.00","496,068.00"
"1,996.00","424,451.00","353,569.00","70,883.00","566,950.00"
"1,997.00","457,668.00","369,108.00","88,560.00","655,510.00"
"1,998.00","489,204.00","382,255.00","106,950.00","762,460.00"
"1,999.00","526,582.00","392,908.00","133,673.00","896,133.00"
"2,000.00","568,433.00","415,121.00","153,312.00","1,049,445.00"
"2,001.00","602,003.00","438,916.00","163,088.00","1,212,533.00"
"2,002.00","627,085.00","461,653.00","165,432.00","1,377,965.00"
"2,003.00","631,886.00","479,086.00","152,799.00","1,530,764.00"
"2,004.00","657,718.00","501,643.00","156,075.00","1,686,839.00"
"2,005.00","701,758.00","529,938.00","171,821.00","1,858,660.00"
"2,006.00","744,873.00","555,421.00","189,452.00","2,048,112.00"
"2,007.00","784,889.00","594,501.00","190,388.00","2,238,500.00"
"2,008.00","805,302.00","625,143.00","180,159.00","2,418,658.00"
"2,009.00","807,490.00","685,801.00","121,689.00","2,540,348.00"
"2,010.00","781,128.00","712,526.00","68,602.00","2,608,950.00"
"2,011.00","805,057.00","736,083.00","68,975.00","2,677,925.00"
"2,012.00","840,190.00","785,781.00","54,409.00","2,732,334.00"
"2,013.00","855,021.00","822,925.00","32,096.00","2,764,431.00"
"2,014.00","884,276.00","859,230.00","25,046.00","2,789,476.00"
"2,015.00","920,157.00","897,123.00","23,034.00","2,812,510.00"
"2,016.00","957,453.00","922,276.00","35,177.00","2,847,687.00"
"2,017.00","996,581.00","952,478.00","44,103.00","2,891,789.00"
"2,018.00","1,003,373.00","1,000,233.00","3,140.00","2,894,929.00"
"2,019.00","1,061,775.00","1,059,299.00","2,476.00","2,897,405.00"
"2,020.00","1,118,096.00","1,107,214.00","10,881.00","2,908,286.00"
"2,021.00","1,088,326.00","1,144,582.00","-56,256.00","2,852,030.00"
"2,022.00","1,221,782.00","1,243,925.00","-22,143.00","2,829,887.00"
"2,023.00","1,350,686.00","1,392,110.00","-41,424.00","2,788,463.00"