STATE, AGE  ,SEX,RECIPIENTS
MP   , 75+  ,M  ,        33
MS   ,  <05 ,F  ,      1701
MS   ,  <05 ,M  ,      2170
MS   , 05-12,F  ,      3933
MS   , 05-12,M  ,      7920
MS   , 13-17,F  ,      2723
MS   , 13-17,M  ,      5573
MS   , 18-21,F  ,      2132
MS   , 18-21,M  ,      3575
MS   , 22-25,F  ,      1841
MS   , 22-25,M  ,      2329
MS   , 26-29,F  ,      2122
MS   , 26-29,M  ,      2379
MS   , 30-39,F  ,      6745
MS   , 30-39,M  ,      5548
MS   , 40-49,F  ,     10469
MS   , 40-49,M  ,      6689
MS   , 50-59,F  ,     14341
MS   , 50-59,M  ,      8842
MS   , 60-64,F  ,      5759
MS   , 60-64,M  ,      3108
MS   , 65-69,F  ,      4708
MS   , 65-69,M  ,      2301
MS   , 70-74,F  ,      4058
MS   , 70-74,M  ,      1594
MS   , 75+  ,F  ,     10522
MS   , 75+  ,M  ,      2487
MT   ,  <05 ,F  ,       206
MT   ,  <05 ,M  ,       281
MT   , 05-12,F  ,       426
MT   , 05-12,M  ,       806
MT   , 13-17,F  ,       263
MT   , 13-17,M  ,       541
MT   , 18-21,F  ,       379
MT   , 18-21,M  ,       530
MT   , 22-25,F  ,       401
MT   , 22-25,M  ,       534
MT   , 26-29,F  ,       361
MT   , 26-29,M  ,       420
MT   , 30-39,F  ,       939
MT   , 30-39,M  ,       852
MT   , 40-49,F  ,      1510
MT   , 40-49,M  ,      1121
MT   , 50-59,F  ,      2148
MT   , 50-59,M  ,      1589
MT   , 60-64,F  ,       872
MT   , 60-64,M  ,       528
MT   , 65-69,F  ,       644
MT   , 65-69,M  ,       435
MT   , 70-74,F  ,       489
MT   , 70-74,M  ,       276
MT   , 75+  ,F  ,       690
MT   , 75+  ,M  ,       291
NC   ,  <05 ,F  ,      3079
NC   ,  <05 ,M  ,      4243
NC   , 05-12,F  ,      6425
NC   , 05-12,M  ,     13569
NC   , 13-17,F  ,      4678
NC   , 13-17,M  ,      9773
NC   , 18-21,F  ,      4423
NC   , 18-21,M  ,      7228
NC   , 22-25,F  ,      4256
NC   , 22-25,M  ,      5643
NC   , 26-29,F  ,      3998
NC   , 26-29,M  ,      4780
NC   , 30-39,F  ,     10449
NC   , 30-39,M  ,      9170
NC   , 40-49,F  ,     17316
NC   , 40-49,M  ,     11521
NC   , 50-59,F  ,     22774
NC   , 50-59,M  ,     15961
NC   , 60-64,F  ,      9819
NC   , 60-64,M  ,      5882
NC   , 65-69,F  ,      7943
NC   , 65-69,M  ,      4221
NC   , 70-74,F  ,      6573
NC   , 70-74,M  ,      2994
NC   , 75+  ,F  ,     18064
NC   , 75+  ,M  ,      4661
ND   ,  <05 ,F  ,        71
ND   ,  <05 ,M  ,       111
ND   , 05-12,F  ,       201
ND   , 05-12,M  ,       369
ND   , 13-17,F  ,       107
ND   , 13-17,M  ,       230
ND   , 18-21,F  ,       173
ND   , 18-21,M  ,       308
ND   , 22-25,F  ,       232
ND   , 22-25,M  ,       256
ND   , 26-29,F  ,       183
ND   , 26-29,M  ,       200
ND   , 30-39,F  ,       501
ND   , 30-39,M  ,       460
ND   , 40-49,F  ,       658
ND   , 40-49,M  ,       504
ND   , 50-59,F  ,       863
ND   , 50-59,M  ,       643
ND   , 60-64,F  ,       391
ND   , 60-64,M  ,       219
ND   , 65-69,F  ,       313
ND   , 65-69,M  ,       179
ND   , 70-74,F  ,       228
ND   , 70-74,M  ,       148
ND   , 75+  ,F  ,       531
ND   , 75+  ,M  ,       223
NE   ,  <05 ,F  ,       394
NE   ,  <05 ,M  ,       477
NE   , 05-12,F  ,       644
NE   , 05-12,M  ,      1303
NE   , 13-17,F  ,       431
NE   , 13-17,M  ,       822
NE   , 18-21,F  ,       644
NE   , 18-21,M  ,       990
NE   , 22-25,F  ,       648
NE   , 22-25,M  ,       895
NE   , 26-29,F  ,       698
NE   , 26-29,M  ,       801
NE   , 30-39,F  ,      1511
NE   , 30-39,M  ,      1326
NE   , 40-49,F  ,      2286
NE   , 40-49,M  ,      1513
NE   , 50-59,F  ,      2770
NE   , 50-59,M  ,      1881
NE   , 60-64,F  ,      1085
NE   , 60-64,M  ,       604
NE   , 65-69,F  ,       834
NE   , 65-69,M  ,       414
NE   , 70-74,F  ,       653
NE   , 70-74,M  ,       303
NE   , 75+  ,F  ,      1294
NE   , 75+  ,M  ,       454
NH   ,  <05 ,F  ,       134
NH   ,  <05 ,M  ,       174
NH   , 05-12,F  ,       369
NH   , 05-12,M  ,       831
NH   , 13-17,F  ,       280
NH   , 13-17,M  ,       612
NH   , 18-21,F  ,       582
NH   , 18-21,M  ,       905
NH   , 22-25,F  ,       729
NH   , 22-25,M  ,       798
NH   , 26-29,F  ,       654
NH   , 26-29,M  ,       564
NH   , 30-39,F  ,      1477
NH   , 30-39,M  ,       918
NH   , 40-49,F  ,      1818
NH   , 40-49,M  ,      1046
NH   , 50-59,F  ,      1856
NH   , 50-59,M  ,      1174
NH   , 60-64,F  ,       628
NH   , 60-64,M  ,       383
NH   , 65-69,F  ,       455
NH   , 65-69,M  ,       209
NH   , 70-74,F  ,       321
NH   , 70-74,M  ,       155
NH   , 75+  ,F  ,       636
NH   , 75+  ,M  ,       207
NJ   ,  <05 ,F  ,      1573
NJ   ,  <05 ,M  ,      2293
NJ   , 05-12,F  ,      3698
NJ   , 05-12,M  ,      8467
NJ   , 13-17,F  ,      2809
NJ   , 13-17,M  ,      6044
NJ   , 18-21,F  ,      3091
NJ   , 18-21,M  ,      5070
NJ   , 22-25,F  ,      2807
NJ   , 22-25,M  ,      3755
NJ   , 26-29,F  ,      2403
NJ   , 26-29,M  ,      2933
NJ   , 30-39,F  ,      6186
NJ   , 30-39,M  ,      6116
NJ   , 40-49,F  ,     10735
NJ   , 40-49,M  ,      7846
NJ   , 50-59,F  ,     15932
NJ   , 50-59,M  ,     11187
NJ   , 60-64,F  ,      7684
NJ   , 60-64,M  ,      4191
NJ   , 65-69,F  ,      8540
NJ   , 65-69,M  ,      3943
NJ   , 70-74,F  ,      8973
NJ   , 70-74,M  ,      3897
NJ   , 75+  ,F  ,     20800
NJ   , 75+  ,M  ,      7618
NM   ,  <05 ,F  ,       616
NM   ,  <05 ,M  ,       855
NM   , 05-12,F  ,      1556
NM   , 05-12,M  ,      3176
NM   , 13-17,F  ,      1001
NM   , 13-17,M  ,      1899
NM   , 18-21,F  ,      1047
NM   , 18-21,M  ,      1430
NM   , 22-25,F  ,      1028
NM   , 22-25,M  ,      1325
NM   , 26-29,F  ,      1080
NM   , 26-29,M  ,      1217
NM   , 30-39,F  ,      2634
NM   , 30-39,M  ,      2523
NM   , 40-49,F  ,      4254
NM   , 40-49,M  ,      3438
NM   , 50-59,F  ,      6023
NM   , 50-59,M  ,      4650
NM   , 60-64,F  ,      2815
NM   , 60-64,M  ,      1748
NM   , 65-69,F  ,      2710
NM   , 65-69,M  ,      1774
NM   , 70-74,F  ,      2539
NM   , 70-74,M  ,      1604
NM   , 75+  ,F  ,      5200
NM   , 75+  ,M  ,      2356
NV   ,  <05 ,F  ,       623
NV   ,  <05 ,M  ,       881
NV   , 05-12,F  ,      1291
NV   , 05-12,M  ,      2568
NV   , 13-17,F  ,       788
NV   , 13-17,M  ,      1573
NV   , 18-21,F  ,       853
NV   , 18-21,M  ,      1330
NV   , 22-25,F  ,       696
NV   , 22-25,M  ,       994
NV   , 26-29,F  ,       662
NV   , 26-29,M  ,       815
NV   , 30-39,F  ,      1640
NV   , 30-39,M  ,      1353
NV   , 40-49,F  ,      2813
NV   , 40-49,M  ,      2001
NV   , 50-59,F  ,      3949
NV   , 50-59,M  ,      2828
NV   , 60-64,F  ,      1701
NV   , 60-64,M  ,      1022
NV   , 65-69,F  ,      1786
NV   , 65-69,M  ,      1062
NV   , 70-74,F  ,      1746
NV   , 70-74,M  ,       994
NV   , 75+  ,F  ,      3592
NV   , 75+  ,M  ,      1447
NY   ,  <05 ,F  ,      5273
NY   ,  <05 ,M  ,      8546
NY   , 05-12,F  ,     13064
NY   , 05-12,M  ,     29572
NY   , 13-17,F  ,      8937
NY   , 13-17,M  ,     18140
NY   , 18-21,F  ,      8768
NY   , 18-21,M  ,     14032
NY   , 22-25,F  ,      9141
NY   , 22-25,M  ,     11796
NY   , 26-29,F  ,      8902
NY   , 26-29,M  ,     10481
NY   , 30-39,F  ,     24470
NY   , 30-39,M  ,     24499
NY   , 40-49,F  ,     44947
NY   , 40-49,M  ,     36663
NY   , 50-59,F  ,     65090
NY   , 50-59,M  ,     49759
NY   , 60-64,F  ,     33200
NY   , 60-64,M  ,     21100
NY   , 65-69,F  ,     36085
NY   , 65-69,M  ,     20052
NY   , 70-74,F  ,     37481
NY   , 70-74,M  ,     20169
NY   , 75+  ,F  ,     85778
NY   , 75+  ,M  ,     35246
OH   ,  <05 ,F  ,      3322
OH   ,  <05 ,M  ,      4536
OH   , 05-12,F  ,      7765
OH   , 05-12,M  ,     16644
OH   , 13-17,F  ,      5470
OH   , 13-17,M  ,     10956
OH   , 18-21,F  ,      6035
OH   , 18-21,M  ,      9306
OH   , 22-25,F  ,      6150
OH   , 22-25,M  ,      7343
OH   , 26-29,F  ,      6159
OH   , 26-29,M  ,      6552
OH   , 30-39,F  ,     16769
OH   , 30-39,M  ,     14279
OH   , 40-49,F  ,     25839
OH   , 40-49,M  ,     18403
OH   , 50-59,F  ,     35494
OH   , 50-59,M  ,     24812
OH   , 60-64,F  ,     13411
OH   , 60-64,M  ,      7502
OH   , 65-69,F  ,      9391
OH   , 65-69,M  ,      4582
OH   , 70-74,F  ,      6937
OH   , 70-74,M  ,      3044
OH   , 75+  ,F  ,     11280
OH   , 75+  ,M  ,      3589
OK   ,  <05 ,F  ,      1105
OK   ,  <05 ,M  ,      1472
OK   , 05-12,F  ,      2977
OK   , 05-12,M  ,      6262
OK   , 13-17,F  ,      2018
OK   , 13-17,M  ,      3888
OK   , 18-21,F  ,      2061
OK   , 18-21,M  ,      2956
OK   , 22-25,F  ,      2051
OK   , 22-25,M  ,      2342
OK   , 26-29,F  ,      1995
OK   , 26-29,M  ,      2140
OK   , 30-39,F  ,      5297
OK   , 30-39,M  ,      4225
OK   , 40-49,F  ,      8176
OK   , 40-49,M  ,      5495
OK   , 50-59,F  ,     10691
OK   , 50-59,M  ,      7463
OK   , 60-64,F  ,      4129
OK   , 60-64,M  ,      2374
OK   , 65-69,F  ,      3191
OK   , 65-69,M  ,      1699
OK   , 70-74,F  ,      2385
OK   , 70-74,M  ,      1140
OK   , 75+  ,F  ,      4625
OK   , 75+  ,M  ,      1564
OR   ,  <05 ,F  ,       725
OR   ,  <05 ,M  ,       956
OR   , 05-12,F  ,      1564
OR   , 05-12,M  ,      3388
OR   , 13-17,F  ,      1092
OR   , 13-17,M  ,      2259
OR   , 18-21,F  ,      1521
OR   , 18-21,M  ,      2360
OR   , 22-25,F  ,      1513
OR   , 22-25,M  ,      2080
OR   , 26-29,F  ,      1452
OR   , 26-29,M  ,      1724
OR   , 30-39,F  ,      3648
OR   , 30-39,M  ,      3282
OR   , 40-49,F  ,      6045
OR   , 40-49,M  ,      4305
OR   , 50-59,F  ,      9111
OR   , 50-59,M  ,      6538
OR   , 60-64,F  ,      3831
OR   , 60-64,M  ,      2244
OR   , 65-69,F  ,      3046
OR   , 65-69,M  ,      1750
OR   , 70-74,F  ,      2519
OR   , 70-74,M  ,      1395
OR   , 75+  ,F  ,      4415
OR   , 75+  ,M  ,      1988
PA   ,  <05 ,F  ,      3136
PA   ,  <05 ,M  ,      4878
PA   , 05-12,F  ,     11073
PA   , 05-12,M  ,     25242
PA   , 13-17,F  ,      8768
PA   , 13-17,M  ,     17007
PA   , 18-21,F  ,      7647
PA   , 18-21,M  ,     11147
PA   , 22-25,F  ,      7659
PA   , 22-25,M  ,      8567
PA   , 26-29,F  ,      7212
PA   , 26-29,M  ,      7003
PA   , 30-39,F  ,     18671
PA   , 30-39,M  ,     14694
PA   , 40-49,F  ,     30617
PA   , 40-49,M  ,     20705
PA   , 50-59,F  ,     39333
PA   , 50-59,M  ,     27490
PA   , 60-64,F  ,     16231
PA   , 60-64,M  ,      9332
PA   , 65-69,F  ,     12770
PA   , 65-69,M  ,      6633
PA   , 70-74,F  ,     10094
PA   , 70-74,M  ,      5311
PA   , 75+  ,F  ,     19770
PA   , 75+  ,M  ,      6949
RI   ,  <05 ,F  ,       274
RI   ,  <05 ,M  ,       395
RI   , 05-12,F  ,       691
RI   , 05-12,M  ,      1645
RI   , 13-17,F  ,       537
RI   , 13-17,M  ,      1065
RI   , 18-21,F  ,       581
RI   , 18-21,M  ,       989
RI   , 22-25,F  ,       670
RI   , 22-25,M  ,       792
RI   , 26-29,F  ,       597
RI   , 26-29,M  ,       692
RI   , 30-39,F  ,      1711
RI   , 30-39,M  ,      1565
RI   , 40-49,F  ,      2946
RI   , 40-49,M  ,      2055
RI   , 50-59,F  ,      3801
RI   , 50-59,M  ,      2359
RI   , 60-64,F  ,      1487
RI   , 60-64,M  ,       782
RI   , 65-69,F  ,      1311
RI   , 65-69,M  ,       684
RI   , 70-74,F  ,      1132
RI   , 70-74,M  ,       506
RI   , 75+  ,F  ,      2619
RI   , 75+  ,M  ,       873
SC   ,  <05 ,F  ,      1722
SC   ,  <05 ,M  ,      2202
SC   , 05-12,F  ,      3157
SC   , 05-12,M  ,      6670
SC   , 13-17,F  ,      2168
SC   , 13-17,M  ,      4361
SC   , 18-21,F  ,      2149
SC   , 18-21,M  ,      3232
SC   , 22-25,F  ,      1885
SC   , 22-25,M  ,      2476
SC   , 26-29,F  ,      1929
SC   , 26-29,M  ,      2254
SC   , 30-39,F  ,      5287
SC   , 30-39,M  ,      4693
SC   , 40-49,F  ,      9026
SC   , 40-49,M  ,      5912
SC   , 50-59,F  ,     12951
SC   , 50-59,M  ,      8861
SC   , 60-64,F  ,      5411
SC   , 60-64,M  ,      3232
SC   , 65-69,F  ,      4420
SC   , 65-69,M  ,      2262
SC   , 70-74,F  ,      3440
SC   , 70-74,M  ,      1484
SC   , 75+  ,F  ,      8755
SC   , 75+  ,M  ,      2071
SD   ,  <05 ,F  ,       196
SD   ,  <05 ,M  ,       267
SD   , 05-12,F  ,       402
SD   , 05-12,M  ,       854
SD   , 13-17,F  ,       243
SD   , 13-17,M  ,       469
SD   , 18-21,F  ,       311
SD   , 18-21,M  ,       489
SD   , 22-25,F  ,       329
SD   , 22-25,M  ,       401
SD   , 26-29,F  ,       288
SD   , 26-29,M  ,       371
SD   , 30-39,F  ,       684
SD   , 30-39,M  ,       637
SD   , 40-49,F  ,       988
SD   , 40-49,M  ,       720
SD   , 50-59,F  ,      1304
SD   , 50-59,M  ,       991
SD   , 60-64,F  ,       601
SD   , 60-64,M  ,       359
SD   , 65-69,F  ,       581
SD   , 65-69,M  ,       357
SD   , 70-74,F  ,       443
SD   , 70-74,M  ,       270
SD   , 75+  ,F  ,       955
SD   , 75+  ,M  ,       338
TN   ,  <05 ,F  ,      1962
TN   ,  <05 ,M  ,      2552
TN   , 05-12,F  ,      3995
TN   , 05-12,M  ,      8136
TN   , 13-17,F  ,      2841
TN   , 13-17,M  ,      5556
TN   , 18-21,F  ,      2993
TN   , 18-21,M  ,      4545
TN   , 22-25,F  ,      3032
TN   , 22-25,M  ,      3833
TN   , 26-29,F  ,      3059
TN   , 26-29,M  ,      3487
TN   , 30-39,F  ,      9695
TN   , 30-39,M  ,      8375
TN   , 40-49,F  ,     16774
TN   , 40-49,M  ,     11374
TN   , 50-59,F  ,     21317
TN   , 50-59,M  ,     14867
TN   , 60-64,F  ,      8673
TN   , 60-64,M  ,      5012
TN   , 65-69,F  ,      6518
TN   , 65-69,M  ,      3604
TN   , 70-74,F  ,      5239
TN   , 70-74,M  ,      2445
TN   , 75+  ,F  ,     11424
TN   , 75+  ,M  ,      3195
TX   ,  <05 ,F  ,      7334
TX   ,  <05 ,M  ,      9854
TX   , 05-12,F  ,     21740
TX   , 05-12,M  ,     47845
TX   , 13-17,F  ,     14614
TX   , 13-17,M  ,     28357
TX   , 18-21,F  ,     11786
TX   , 18-21,M  ,     17274
TX   , 22-25,F  ,     10368
TX   , 22-25,M  ,     12961
TX   , 26-29,F  ,     10006
TX   , 26-29,M  ,     10766
TX   , 30-39,F  ,     24800
TX   , 30-39,M  ,     21366
TX   , 40-49,F  ,     37679
TX   , 40-49,M  ,     26974
TX   , 50-59,F  ,     55074
TX   , 50-59,M  ,     38353
TX   , 60-64,F  ,     26034
TX   , 60-64,M  ,     15471
TX   , 65-69,F  ,     27496
TX   , 65-69,M  ,     14729
TX   , 70-74,F  ,     25711
TX   , 70-74,M  ,     13511
TX   , 75+  ,F  ,     60101
TX   , 75+  ,M  ,     26359
UT   ,  <05 ,F  ,       524
UT   ,  <05 ,M  ,       643
UT   , 05-12,F  ,       833
UT   , 05-12,M  ,      1742
UT   , 13-17,F  ,       501
UT   , 13-17,M  ,      1052
UT   , 18-21,F  ,       805
UT   , 18-21,M  ,      1164
UT   , 22-25,F  ,       850
UT   , 22-25,M  ,      1020
UT   , 26-29,F  ,       810
UT   , 26-29,M  ,       857
UT   , 30-39,F  ,      1774
UT   , 30-39,M  ,      1545
UT   , 40-49,F  ,      2100
UT   , 40-49,M  ,      1351
UT   , 50-59,F  ,      2757
UT   , 50-59,M  ,      1632
UT   , 60-64,F  ,      1084
UT   , 60-64,M  ,       522
UT   , 65-69,F  ,       881
UT   , 65-69,M  ,       440
UT   , 70-74,F  ,       777
UT   , 70-74,M  ,       370
UT   , 75+  ,F  ,      1423
UT   , 75+  ,M  ,       622
VA   ,  <05 ,F  ,      1562
VA   ,  <05 ,M  ,      2008
VA   , 05-12,F  ,      3733
VA   , 05-12,M  ,      8254
VA   , 13-17,F  ,      2884
VA   , 13-17,M  ,      5641
VA   , 18-21,F  ,      3416
VA   , 18-21,M  ,      5270
VA   , 22-25,F  ,      3290
VA   , 22-25,M  ,      3997
VA   , 26-29,F  ,      2977
VA   , 26-29,M  ,      3260
VA   , 30-39,F  ,      7312
VA   , 30-39,M  ,      6097
VA   , 40-49,F  ,     11742
VA   , 40-49,M  ,      7841
VA   , 50-59,F  ,     14971
VA   , 50-59,M  ,     10393
VA   , 60-64,F  ,      6258
VA   , 60-64,M  ,      3525
VA   , 65-69,F  ,      5768
VA   , 65-69,M  ,      2860
VA   , 70-74,F  ,      5377
VA   , 70-74,M  ,      2452
VA   , 75+  ,F  ,     13018
VA   , 75+  ,M  ,      4399
VT   ,  <05 ,F  ,        74
VT   ,  <05 ,M  ,       131
VT   , 05-12,F  ,       293
VT   , 05-12,M  ,       666
VT   , 13-17,F  ,       240
VT   , 13-17,M  ,       457
VT   , 18-21,F  ,       407
VT   , 18-21,M  ,       577
VT   , 22-25,F  ,       421
VT   , 22-25,M  ,       511
VT   , 26-29,F  ,       436
VT   , 26-29,M  ,       403
VT   , 30-39,F  ,      1009
VT   , 30-39,M  ,       762
VT   , 40-49,F  ,      1485
VT   , 40-49,M  ,       978
VT   , 50-59,F  ,      1730
VT   , 50-59,M  ,      1172
VT   , 60-64,F  ,       650
VT   , 60-64,M  ,       400
VT   , 65-69,F  ,       532
VT   , 65-69,M  ,       277
VT   , 70-74,F  ,       433
VT   , 70-74,M  ,       179
VT   , 75+  ,F  ,       782
VT   , 75+  ,M  ,       284
WA   ,  <05 ,F  ,      1357
WA   ,  <05 ,M  ,      1808
WA   , 05-12,F  ,      2811
WA   , 05-12,M  ,      5935
WA   , 13-17,F  ,      1785
WA   , 13-17,M  ,      3542
WA   , 18-21,F  ,      2426
WA   , 18-21,M  ,      3963
WA   , 22-25,F  ,      2797
WA   , 22-25,M  ,      3617
WA   , 26-29,F  ,      2897
WA   , 26-29,M  ,      3327
WA   , 30-39,F  ,      7102
WA   , 30-39,M  ,      6176
WA   , 40-49,F  ,     11579
WA   , 40-49,M  ,      8136
WA   , 50-59,F  ,     15738
WA   , 50-59,M  ,     11529
WA   , 60-64,F  ,      6550
WA   , 60-64,M  ,      3824
WA   , 65-69,F  ,      5312
WA   , 65-69,M  ,      2916
WA   , 70-74,F  ,      5088
WA   , 70-74,M  ,      2780
WA   , 75+  ,F  ,      9589
WA   , 75+  ,M  ,      4863
WI   ,  <05 ,F  ,      1350
WI   ,  <05 ,M  ,      2017
WI   , 05-12,F  ,      3253
WI   , 05-12,M  ,      7289
WI   , 13-17,F  ,      2143
WI   , 13-17,M  ,      4535
WI   , 18-21,F  ,      2824
WI   , 18-21,M  ,      4267
WI   , 22-25,F  ,      2781
WI   , 22-25,M  ,      3437
WI   , 26-29,F  ,      2732
WI   , 26-29,M  ,      2768
WI   , 30-39,F  ,      6408
WI   , 30-39,M  ,      5169
WI   , 40-49,F  ,      9187
WI   , 40-49,M  ,      6346
WI   , 50-59,F  ,     11007
WI   , 50-59,M  ,      7620
WI   , 60-64,F  ,      4124
WI   , 60-64,M  ,      2351
WI   , 65-69,F  ,      3165
WI   , 65-69,M  ,      1680
WI   , 70-74,F  ,      2283
WI   , 70-74,M  ,      1237
WI   , 75+  ,F  ,      5526
WI   , 75+  ,M  ,      1977
WV   ,  <05 ,F  ,       492
WV   ,  <05 ,M  ,       763
WV   , 05-12,F  ,      1467
WV   , 05-12,M  ,      2993
WV   , 13-17,F  ,      1149
WV   , 13-17,M  ,      2329
WV   , 18-21,F  ,      1130
WV   , 18-21,M  ,      1814
WV   , 22-25,F  ,      1406
WV   , 22-25,M  ,      1640
WV   , 26-29,F  ,      1576
WV   , 26-29,M  ,      1695
WV   , 30-39,F  ,      5277
WV   , 30-39,M  ,      4647
WV   , 40-49,F  ,      8546
WV   , 40-49,M  ,      6809
WV   , 50-59,F  ,     10594
WV   , 50-59,M  ,      7630
WV   , 60-64,F  ,      4258
WV   , 60-64,M  ,      2509
WV   , 65-69,F  ,      2728
WV   , 65-69,M  ,      1598
WV   , 70-74,F  ,      1953
WV   , 70-74,M  ,      1166
WV   , 75+  ,F  ,      3017
WV   , 75+  ,M  ,      1149
WY   ,  <05 ,F  ,        82
WY   ,  <05 ,M  ,        95
WY   , 05-12,F  ,       152
WY   , 05-12,M  ,       320
WY   , 13-17,F  ,       118
WY   , 13-17,M  ,       204
WY   , 18-21,F  ,       160
WY   , 18-21,M  ,       250
WY   , 22-25,F  ,       160
WY   , 22-25,M  ,       233
WY   , 26-29,F  ,       205
WY   , 26-29,M  ,       188
WY   , 30-39,F  ,       422
WY   , 30-39,M  ,       314
WY   , 40-49,F  ,       597
WY   , 40-49,M  ,       348
WY   , 50-59,F  ,       823
WY   , 50-59,M  ,       430
WY   , 60-64,F  ,       329
WY   , 60-64,M  ,       149
WY   , 65-69,F  ,       211
WY   , 65-69,M  ,        97
WY   , 70-74,F  ,       127
WY   , 70-74,M  ,        57
WY   , 75+  ,F  ,       220
WY   , 75+  ,M  ,        78
